ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
"FR0010609263"	"EUR"	0	0	0	0	0	0	0	0
"SE0000273294"	"SEK"	0	0	0	0	0	0	0	0
"FR0000120560"	"EUR"	0	0	0	0	0	0	0	0
"NO0010629108"	"NOK"	0	0	0	0	0	0	0	0
"ES0161560018"	"EUR"	0	0	0	0	0	0	0	0
"DK0060580512"	"DKK"	0	0	0	0	0	0	0	0
"GB0000536739"	"GBX"	1157	1115	91150	86562	351416539	354011893	355200000	0
"ES0110047919"	"EUR"	0	0	0	0	0	0	0	0
"NL0010273215"	"EUR"	0	0	0	0	0	0	0	0
"SE0007100581"	"SEK"	0	23	0	713	0	26330000	0	0
"IT0000062072"	"EUR"	0	0	0	0	0	0	0	0
"GB0006731235"	"GBX"	1197	1085	199725	184184	159573289	161167358	160900000	0
"GB00B1JQBT10"	"GBX"	111	120	1108020	1265014	2082139	2262936	2120000	0
"GB0009895292"	"GBX"	1727	1442	86269	76084	1072894485	1086082211	1089400000	0
"GB0009895292"	"SEK"	0	0	0	0	0	0	0	0
"ES0173908015"	"EUR"	0	0	0	0	0	0	0	0
"SE0003366871"	"DKK"	0	0	0	0	0	0	0	0
"IT0003506190"	"EUR"	0	24	0	5002	0	2246528	0	0
"NO0010612450"	"NOK"	0	0	0	0	0	0	0	0
"FR0000121709"	"EUR"	0	0	0	0	0	0	0	0
"GB0007973794"	"GBX"	135	161	249361	301744	17301563	17649438	17490000	0
"SE0000120669"	"SEK"	0	0	0	0	0	0	0	0
"NO0010715139"	"NOK"	0	0	0	0	0	0	0	0
"FI0009007611"	"SEK"	0	0	0	0	0	0	0	0
"DK0060696300"	"DKK"	0	0	0	0	0	0	0	0
"IT0001137345"	"EUR"	0	0	0	0	0	0	0	0
"GB00B03HDJ73"	"GBX"	0	0	0	0	0	0	0	0
"SE0002591420"	"SEK"	0	0	0	0	0	0	0	0
"GB00BZ3CNK81"	"DKK"	0	0	0	0	0	0	0	0
"ES0182280018"	"EUR"	0	0	0	0	0	0	0	0
"FR0000120628"	"EUR"	0	0	0	0	0	0	0	0
"DE000UNSE018"	"EUR"	0	0	0	0	0	0	0	0
"GB0006928617"	"GBX"	900	735	245895	183804	103858202	105927551	105400000	0
"IT0003261697"	"EUR"	0	0	0	0	0	0	0	0
"GB0009697037"	"GBX"	82	98	93641	88895	31801666	32263305	32260000	0
"GB0002634946"	"GBX"	1363	1305	503032	584165	83931000	84654194	84620000	0
"GB00B132NW22"	"GBX"	184	159	201419	195708	20933697	21320996	21240000	0
"GB00BVYVFW23"	"GBX"	1056	995	593282	554265	55420709	55879888	55820000	0
"LU1072616219"	"GBX"	1175	1129	679135	628629	36267560	36533783	36560000	0
"GB0002652740"	"GBX"	127	183	22577	33271	255796261	258467061	258800000	0
"GB0008220112"	"GBX"	1081	1041	1029631	952169	27781802	28005908	28020000	0
"IT0005218752"	"EUR"	0	0	0	0	0	0	0	0
"IT0000066123"	"EUR"	0	0	0	0	0	0	0	0
"GB0004915632"	"GBX"	167	193	515285	362059	6899847	7038892	6990000	0
"ES0113211835"	"EUR"	0	0	0	0	0	0	0	0
"PTBCP0AM0015"	"EUR"	0	0	0	0	0	0	0	0
"ES0113860A34"	"EUR"	0	0	0	0	0	0	0	0
"GB00B0YG1K06"	"GBX"	55	76	340708	331402	4472341	4545816	4570000	0
"ES0113900J37"	"EUR"	46	69	13892	16330	256650	335366	261000	0
"GB00B5ZN1N88"	"GBX"	1304	1295	574314	404034	90994718	96513274	96280000	0
"GB00BWFGQN14"	"GBX"	978	903	29390	23899	1020988618	1034349052	1035000000	0
"IE00B00MZ448"	"GBX"	101	105	54812	49987	72344341	73498512	74240000	0
"GB0030232317"	"GBX"	99	40	52373	33743	39962372	40496553	40640000	0
"GB00BLDYK618"	"GBX"	1011	1175	354251	416045	71542693	72838377	72740000	0
"ES0113679I37"	"EUR"	0	0	0	0	0	0	0	0
"GB0003308607"	"GBX"	602	553	56885	51063	274216448	276649421	277100000	0
